isp_crm_php  | [29-Jan-2026 11:52:58] NOTICE: ready to handle connections
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:02:31 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:03:30 +0300 "GET /index.php" 302
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:03:30 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:00 +0300 "POST /index.php" 302
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:01 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:19 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:27 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:28 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:29 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:30 +0300 "GET /api/smartolt-onus.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:04:58 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:01 +0300 "GET /cron.php" 403
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:02 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:04 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:06 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:08 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:10 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:10 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:01 +0300 "GET /cron.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:15 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:15 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:20 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:21 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:26 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:26 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:31 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:31 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:36 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:36 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:41 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:42 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:47 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:47 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:52 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:52 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:57 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:05:57 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:02 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:02 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:07 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:08 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:13 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:13 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:18 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:18 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:06:23 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:07:00 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:07:04 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:07:06 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:07:08 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:07:10 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:07:51 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:07:54 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:09:30 +0300 "GET /api/smartolt-onus.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:10:01 +0300 "GET /cron.php" 403
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:10:01 +0300 "GET /cron.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:10:43 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:10:43 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:11 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:11 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:16 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:16 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:16 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:17 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:22 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:22 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:22 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:22 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:11:22 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:03 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:06 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:18 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:21 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:23 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:25 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:27 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:28 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:33 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:33 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:38 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:38 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:43 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:43 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:48 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:49 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:54 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:54 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:59 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:12:59 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:04 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:19 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:22 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:24 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:28 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:31 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:41 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:44 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:47 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:49 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:51 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:51 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:56 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:13:56 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:02 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:02 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:07 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:07 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:13 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:13 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:18 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:18 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:24 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:24 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:29 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:14:30 +0300 "GET /api/smartolt-onus.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:15:02 +0300 "GET /cron.php" 403
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:15:02 +0300 "GET /cron.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:15:59 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:16:02 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:16:09 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:16:13 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:16:13 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:20:01 +0300 "GET /cron.php" 403
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:20:00 +0300 "GET /api/smartolt-onus.php" 200
isp_crm_php  | 172.18.0.9 -  29/Jan/2026:12:20:01 +0300 "GET /cron.php" 200
^C
root@superlitecrm:~/isp#
root@superlitecrm:~/isp#
root@superlitecrm:~/isp# docker compose logs -f whatsapp
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Session found, auto-initializing...
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | WhatsApp service running on 0.0.0.0:3001
isp_crm_whatsapp  | API Secret: Configured
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | Initializing WhatsApp client...
isp_crm_whatsapp  | Removed stale lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | Logout error: Error: EBUSY: resource busy or locked, rmdir '/app/.wwebjs_auth'
isp_crm_whatsapp  |     at rmdirSync (node:fs:1214:11)
isp_crm_whatsapp  |     at _rmdirSync (node:internal/fs/rimraf:237:5)
isp_crm_whatsapp  |     at rimrafSync (node:internal/fs/rimraf:195:7)
isp_crm_whatsapp  |     at Object.rmSync (node:fs:1263:10)
isp_crm_whatsapp  |     at /app/index.js:417:16 {
isp_crm_whatsapp  |   errno: -16,
isp_crm_whatsapp  |   code: 'EBUSY',
isp_crm_whatsapp  |   syscall: 'rmdir',
isp_crm_whatsapp  |   path: '/app/.wwebjs_auth'
isp_crm_whatsapp  | }
isp_crm_whatsapp  | Initializing WhatsApp client...
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | Initializing WhatsApp client...
isp_crm_whatsapp  | Removed stale lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | Initializing WhatsApp client...
isp_crm_whatsapp  | Removed stale lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WARNING: Authenticated but ready event never fired after 90s. Reinitializing...
isp_crm_whatsapp  | Cleared stale session directory
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | /app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/Page.js:563
isp_crm_whatsapp  |             throw new Error(`Failed to add page binding with name ${name}: window['${name}'] already exists!`);
isp_crm_whatsapp  |                   ^
isp_crm_whatsapp  |
isp_crm_whatsapp  | Error: Failed to add page binding with name onQRChangedEvent: window['onQRChangedEvent'] already exists!
isp_crm_whatsapp  |     at CdpPage.exposeFunction (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/Page.js:563:19)
isp_crm_whatsapp  |     at exposeFunctionIfAbsent (/app/node_modules/whatsapp-web.js/src/util/Puppeteer.js:20:16)
isp_crm_whatsapp  |     at async Client.inject (/app/node_modules/whatsapp-web.js/src/Client.js:175:17)
isp_crm_whatsapp  |     at async Client.initialize (/app/node_modules/whatsapp-web.js/src/Client.js:373:9)
isp_crm_whatsapp  |
isp_crm_whatsapp  | Node.js v20.20.0
isp_crm_whatsapp  | Removed stale lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Session found, auto-initializing...
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | WhatsApp service running on 0.0.0.0:3001
isp_crm_whatsapp  | API Secret: Configured
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | Initializing WhatsApp client...
isp_crm_whatsapp  | Removed stale lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | WhatsApp authenticated
isp_crm_whatsapp  | QR Code received
isp_crm_whatsapp  | WhatsApp client is ready!
isp_crm_whatsapp  | WhatsApp client is ready!
isp_crm_whatsapp  | WhatsApp client is ready!
isp_crm_whatsapp  | WhatsApp client is ready!
isp_crm_whatsapp  | Applied sendSeen patch for group messages
isp_crm_whatsapp  | Applied sendSeen patch for group messages
isp_crm_whatsapp  | Applied sendSeen patch for group messages
isp_crm_whatsapp  | Applied sendSeen patch for group messages
isp_crm_whatsapp  | Initializing WhatsApp client...
isp_crm_whatsapp  | Removed stale lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | /app/node_modules/puppeteer-core/lib/cjs/puppeteer/util/decorators.js:107
isp_crm_whatsapp  |                 throw new Error(message(this));
isp_crm_whatsapp  |                       ^
isp_crm_whatsapp  |
isp_crm_whatsapp  | Error: Attempted to use detached Frame 'E05F58FA1AFBF30A3497C82090A8F21C'.
isp_crm_whatsapp  |     at CdpFrame.<anonymous> (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/util/decorators.js:107:23)
isp_crm_whatsapp  |     at CdpPage.evaluate (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/api/Page.js:826:43)
isp_crm_whatsapp  |     at Client.inject (/app/node_modules/whatsapp-web.js/src/Client.js:106:38)
isp_crm_whatsapp  |     at async /app/node_modules/whatsapp-web.js/src/Client.js:383:13
isp_crm_whatsapp  |
isp_crm_whatsapp  | Node.js v20.20.0
isp_crm_whatsapp  | Session found, auto-initializing...
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | WhatsApp service running on 0.0.0.0:3001
isp_crm_whatsapp  | API Secret: Configured
isp_crm_whatsapp  | Initializing WhatsApp client...
isp_crm_whatsapp  | Removed stale lock file: /app/.wwebjs_auth/session/SingletonSocket
isp_crm_whatsapp  | Removed nested lock file: /app/.wwebjs_auth/session/SingletonLock
isp_crm_whatsapp  | Using Chromium at: /usr/bin/chromium
isp_crm_whatsapp  | /app/node_modules/puppeteer-core/lib/cjs/puppeteer/common/CallbackRegistry.js:82
isp_crm_whatsapp  |             this._reject(callback, new Errors_js_1.TargetCloseError('Target closed'));
isp_crm_whatsapp  |                                    ^
isp_crm_whatsapp  |
isp_crm_whatsapp  | TargetCloseError: Protocol error (Runtime.callFunctionOn): Target closed
isp_crm_whatsapp  |     at CallbackRegistry.clear (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/common/CallbackRegistry.js:82:36)
isp_crm_whatsapp  |     at CdpCDPSession.onClosed (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/CdpSession.js:115:25)
isp_crm_whatsapp  |     at Connection.onMessage (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/Connection.js:149:25)
isp_crm_whatsapp  |     at WebSocket.<anonymous> (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/node/NodeWebSocketTransport.js:43:32)
isp_crm_whatsapp  |     at callListener (/app/node_modules/ws/lib/event-target.js:290:14)
isp_crm_whatsapp  |     at WebSocket.onMessage (/app/node_modules/ws/lib/event-target.js:209:9)
isp_crm_whatsapp  |     at WebSocket.emit (node:events:524:28)
isp_crm_whatsapp  |     at Receiver.receiverOnMessage (/app/node_modules/ws/lib/websocket.js:1225:20)
isp_crm_whatsapp  |     at Receiver.emit (node:events:524:28)
isp_crm_whatsapp  |     at Immediate.<anonymous> (/app/node_modules/ws/lib/receiver.js:601:16)
isp_crm_whatsapp  |     at process.processImmediate (node:internal/timers:483:21) {
isp_crm_whatsapp  |   cause: ProtocolError
isp_crm_whatsapp  |       at <instance_members_initializer> (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/common/CallbackRegistry.js:103:14)
isp_crm_whatsapp  |       at new Callback (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/common/CallbackRegistry.js:107:16)
isp_crm_whatsapp  |       at CallbackRegistry.create (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/common/CallbackRegistry.js:25:26)
isp_crm_whatsapp  |       at Connection._rawSend (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/Connection.js:108:26)
isp_crm_whatsapp  |       at CdpCDPSession.send (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/CdpSession.js:74:33)
isp_crm_whatsapp  |       at #evaluate (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/ExecutionContext.js:363:50)
isp_crm_whatsapp  |       at ExecutionContext.evaluate (/app/node_modules/puppeteer-core/lib/cjs/puppeteer/cdp/ExecutionContext.js:277:36)
